Date,Symbol,Type,Quantity,Price,Fee,Currency
2024-01-10T08:00:00Z,BTC,BUY,0.5,42500.00,12.50,USD
2024-02-14T12:30:00Z,ETH,BUY,5.0,2480.00,8.00,USD
2024-03-01T09:15:00Z,SOL,BUY,100,110.50,5.00,USD
2024-03-20T16:00:00Z,BTC,BUY,0.25,65200.00,15.00,USD
2024-04-05T10:45:00Z,ADA,BUY,5000,0.62,3.00,USD
2024-05-15T14:30:00Z,ETH,BUY,3.0,3050.00,10.00,USD
2024-06-01T08:30:00Z,DOT,BUY,200,7.15,2.50,USD
2024-07-10T11:00:00Z,LINK,BUY,150,14.80,4.00,USD
2024-08-22T13:15:00Z,SOL,SELL,50,145.20,5.00,USD
2024-09-05T09:00:00Z,AVAX,BUY,80,26.40,3.50,USD
2024-10-18T15:45:00Z,BTC,BUY,0.15,68900.00,18.00,USD
2024-11-11T10:30:00Z,ETH,SELL,2.0,3200.00,9.00,USD
2024-12-01T12:00:00Z,MATIC,BUY,3000,0.89,2.00,USD
